Date,Open,High,Low,Close,Volume,Adj Close
2015-04-27,170.889999,171.490005,170.300003,170.729996,3168600,160.379477
2015-04-24,170.229996,170.850006,168.740005,169.779999,3888400,159.487073
2015-04-23,165.229996,171.910004,165.139999,170.240005,8235600,159.919192
2015-04-22,164.389999,166.00,162.889999,165.360001,4024800,155.335038
2015-04-21,166.070007,167.380005,164.050003,164.259995,9683600,154.30172
2015-04-20,162.100006,166.639999,161.899994,166.160004,9609200,156.086541
2015-04-17,161.75,161.860001,160.029999,160.669998,4314400,150.929367
2015-04-16,163.309998,163.979996,162.539993,163.130005,3136900,153.240236
2015-04-15,162.630005,164.960007,162.50,164.130005,3498800,154.179611
2015-04-14,162.419998,162.740005,160.789993,162.300003,2719300,152.460553
2015-04-13,162.369995,164.00,162.360001,162.380005,3868900,152.535705
2015-04-10,162.339996,163.330002,161.25,162.860001,2515700,152.986601
2015-04-09,161.699997,162.470001,160.720001,162.339996,2263500,152.498122
2015-04-08,161.720001,163.550003,161.009995,161.850006,2524300,152.037837
2015-04-07,161.669998,163.839996,161.619995,162.070007,3148000,152.244501
2015-04-06,159.690002,162.800003,158.699997,162.039993,3465700,152.216306
2015-04-02,159.520004,162.539993,158.889999,160.449997,4671600,150.722704
2015-04-01,160.229996,160.619995,158.389999,159.179993,3700800,149.529693
2015-03-31,161.080002,162.330002,160.399994,160.50,4255400,150.769675
2015-03-30,161.309998,163.600006,161.25,162.669998,4138000,152.808117
2015-03-27,160.789993,160.899994,159.229996,160.399994,3477900,150.675732
2015-03-26,159.270004,161.25,158.910004,160.589996,4396000,150.854216
2015-03-25,163.080002,163.080002,159.199997,159.199997,5428900,149.548485
2015-03-24,164.789993,164.889999,162.899994,163.00,4346100,153.118113
2015-03-23,162.770004,165.350006,162.729996,164.630005,5930100,154.649298
2015-03-20,160.949997,163.00,160.350006,162.880005,9006400,153.005392
2015-03-19,159.699997,160.919998,158.809998,159.809998,3878600,150.121504
2015-03-18,156.850006,160.699997,155.800003,159.809998,5738800,150.121504
2015-03-17,156.199997,157.289993,155.369995,156.960007,3311700,147.444294
2015-03-16,155.050003,157.089996,154.800003,157.080002,3749600,147.557015
2015-03-13,157.460007,157.520004,153.399994,154.279999,6064100,144.926762
2015-03-12,156.270004,158.720001,156.270004,157.979996,4567300,148.402446
2015-03-11,158.570007,159.139999,155.940002,156.800003,5709900,147.293991
2015-03-10,159.600006,160.229996,157.809998,157.809998,4601000,148.242754
2015-03-09,158.199997,161.149994,158.199997,160.770004,5193900,151.02331
2015-03-06,160.190002,161.440002,158.059998,158.50,4540200,148.890925
2015-03-05,159.860001,161.50,159.699997,161.179993,3791700,151.408443
2015-03-04,160.539993,160.559998,158.720001,159.419998,3633600,149.755149
2015-03-03,160.270004,161.75,160.00,161.029999,3234400,151.267543
2015-03-02,161.940002,161.940002,159.809998,160.479996,5917900,150.750884
2015-02-27,160.869995,162.289993,160.160004,161.940002,4410000,152.122377
2015-02-26,163.740005,164.139999,159.770004,160.869995,7110800,151.117239
2015-02-25,164.940002,164.960007,162.580002,162.809998,4004600,152.939629
2015-02-24,162.490005,164.990005,161.509995,164.830002,4701600,154.83717
2015-02-23,164.229996,164.399994,162.50,162.910004,2714400,153.033572
2015-02-20,163.639999,164.339996,162.089996,163.649994,3353000,153.728701
2015-02-19,162.050003,164.490005,161.440002,163.889999,3504400,153.954156
2015-02-18,161.860001,162.470001,160.639999,162.190002,4358400,152.357221
2015-02-17,159.75,161.410004,159.729996,160.960007,2894500,151.201794
2015-02-13,158.779999,160.800003,158.639999,160.399994,3706900,150.675732
2015-02-12,158.720001,159.50,158.089996,158.520004,3333100,148.909717
2015-02-11,157.759995,159.089996,157.169998,158.199997,3626700,148.60911
2015-02-10,156.740005,158.559998,155.080002,158.559998,4440600,148.947286
2015-02-09,156.00,157.50,155.399994,155.75,3057700,146.307644
2015-02-06,157.339996,158.080002,156.229996,156.720001,3256500,147.218839
2015-02-05,157.289993,158.589996,157.149994,157.910004,5253600,147.303392
2015-02-04,157.210007,158.710007,156.699997,156.960007,3678500,146.417205
2015-02-03,154.75,158.600006,154.75,158.470001,5539400,147.825775
2015-02-02,154.00,154.660004,151.509995,154.660004,4712200,144.27169
2015-01-30,153.910004,155.240005,153.039993,153.309998,6563600,143.012362
2015-01-29,151.380005,155.580002,149.520004,155.479996,8320800,145.036605
2015-01-28,154.00,154.529999,151.550003,151.550003,4495900,141.370584
2015-01-27,154.940002,155.089996,152.589996,153.669998,5659600,143.348182
2015-01-26,158.259995,159.460007,155.770004,156.360001,7888100,145.857501
2015-01-23,155.029999,157.600006,154.889999,155.869995,4834800,145.400408
2015-01-22,151.940002,155.720001,151.759995,155.389999,6120100,144.952653
2015-01-21,153.029999,154.50,151.070007,152.089996,11897100,141.874307
2015-01-20,156.699997,157.330002,154.029999,156.949997,8392800,146.407868
2015-01-16,153.820007,157.630005,153.820007,157.139999,5756000,146.585108
2015-01-15,156.690002,156.970001,154.160004,154.570007,4248400,144.187739
2015-01-14,154.860001,156.490005,153.740005,155.800003,4677400,145.335117
2015-01-13,157.259995,159.970001,155.679993,156.809998,4377500,146.277272
2015-01-12,159.00,159.25,155.759995,156.440002,4187600,145.932129
2015-01-09,158.419998,160.339996,157.25,159.110001,4488300,148.422787
2015-01-08,156.240005,159.039993,155.550003,158.419998,4236800,147.779131
2015-01-07,157.199997,157.199997,154.029999,155.050003,4701800,144.635494
2015-01-06,159.669998,159.960007,155.169998,156.070007,6146700,145.586986
2015-01-05,161.270004,161.270004,159.190002,159.509995,4880400,148.795914
2015-01-02,161.309998,163.309998,161.00,162.059998,5525500,151.174636
2014-12-31,160.410004,161.50,160.380005,160.440002,4011900,149.663454
